Date,Open,High,Low,Close,Volume
2024-07-16,7.25,7.460000038146973,5.849999904632568,5.980000019073486,88400.0
2024-07-17,6.559999942779541,7.0,6.260000228881836,7.0,74900.0
2024-07-18,6.71999979019165,6.980000019073486,6.570000171661377,6.739999771118164,28400.0
2024-07-19,6.815000057220459,7.177999973297119,6.730000019073486,7.0,38500.0
2024-07-22,6.994999885559082,7.800000190734863,6.679999828338623,6.739999771118164,68300.0
2024-07-23,7.510000228881836,7.53000020980835,6.755000114440918,7.210000038146973,18200.0
2024-07-24,7.455999851226807,7.65500020980835,7.28000020980835,7.519999980926514,25300.0
2024-07-25,7.449999809265137,8.069999694824219,7.449999809265137,7.639999866485596,31200.0
2024-07-26,7.840000152587891,8.029999732971191,7.599999904632568,7.800000190734863,22900.0
2024-07-29,8.407999992370605,8.619999885559082,7.939000129699707,8.079999923706055,54500.0
2024-07-30,8.475000381469727,9.260000228881836,8.33899974822998,8.744999885559082,79500.0
2024-07-31,7.954999923706055,8.831000328063965,7.776000022888184,8.619999885559082,34500.0
2024-08-01,7.769999980926514,8.449999809265137,7.5,7.960000038146973,10800.0
2024-08-02,7.210000038146973,8.09000015258789,7.059999942779541,7.449999809265137,17400.0
2024-08-05,7.0,7.0,6.453000068664551,6.5,18800.0
2024-08-06,7.159999847412109,7.464000225067139,6.979000091552734,7.0,6700.0
2024-08-07,7.829999923706055,7.989999771118164,7.199999809265137,7.199999809265137,44500.0
2024-08-08,7.900000095367432,8.119999885559082,7.659999847412109,7.829999923706055,66400.0
2024-08-09,10.100000381469728,10.3100004196167,8.25,8.25,63200.0
2024-08-12,12.600000381469728,14.899999618530272,10.44499969482422,10.489999771118164,519400.0
2024-08-13,12.739999771118164,14.0,11.81999969482422,12.850000381469728,214700.0
2024-08-14,12.960000038146973,13.800000190734863,12.510000228881836,12.90999984741211,81700.0
2024-08-15,13.0600004196167,13.369999885559082,12.734999656677246,13.359999656677246,35400.0
2024-08-16,15.25,15.25,13.0600004196167,13.550000190734863,114300.0
2024-08-19,17.709999084472656,17.940000534057617,15.25,15.25,125400.0
2024-08-20,20.6299991607666,22.309999465942383,16.920000076293945,17.709999084472656,127500.0
2024-08-21,20.5,21.799999237060547,17.200000762939453,21.459999084472656,121800.0
2024-08-22,21.51000022888184,24.8799991607666,20.13999938964844,20.13999938964844,146500.0
2024-08-23,21.6299991607666,24.89999961853028,20.90999984741211,23.450000762939453,94700.0
2024-08-26,24.190000534057617,26.75,20.600000381469727,21.6299991607666,160400.0
2024-08-27,23.51000022888184,26.18000030517578,22.1879997253418,24.0,83800.0
2024-08-28,21.350000381469727,23.209999084472656,18.295000076293945,23.209999084472656,132800.0
2024-08-29,21.86000061035156,22.690000534057617,20.64999961853028,21.239999771118164,42300.0
2024-08-30,21.38999938964844,22.222000122070312,21.11000061035156,21.700000762939453,36200.0
2024-09-03,21.170000076293945,22.01000022888184,21.1299991607666,21.1299991607666,24800.0
2024-09-04,23.190000534057617,23.36000061035156,21.0,21.170000076293945,64600.0
2024-09-05,22.030000686645508,24.489999771118164,21.75,23.5,39600.0
2024-09-06,21.3799991607666,23.0,20.93000030517578,22.049999237060547,32300.0
2024-09-09,20.850000381469727,21.56999969482422,20.700000762939453,21.56999969482422,39100.0
2024-09-10,21.09000015258789,21.15999984741211,20.26000022888184,20.850000381469727,26300.0
2024-09-11,23.13999938964844,23.21999931335449,20.5,20.5,46000.0
2024-09-12,22.6200008392334,23.541000366210938,22.6200008392334,22.729999542236328,24300.0
2024-09-13,25.190000534057617,26.39999961853028,22.690000534057617,22.709999084472656,104600.0
2024-09-16,25.0,25.89999961853028,24.065000534057617,25.89999961853028,40600.0
2024-09-17,25.049999237060547,25.80500030517578,24.5,25.0,42900.0
